Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
45.0,32809926.0,12208.5615234375,729109.4375,271.3013610839844,AntiSSB_Min,627,627,all,Autoantibody
52.0,22553908.0,19198.45703125,433729.0,369.20111083984375,AntiJo1_Avg,627,627,all,Autoantibody
38.0,23053238.0,13183.138671875,606664.1875,346.9247131347656,AntiJo1_Max,627,627,all,Autoantibody
22.0,11151676.0,6210.23388671875,506894.375,282.2833557128906,AntiJo1_Min,627,627,all,Autoantibody
66.0,29905884.0,19713.322265625,453119.46875,298.68670654296875,AntiDoubleStrandedDNA_Avg,627,627,all,Autoantibody
46.0,20258654.0,26148.62109375,440405.53125,568.4483032226562,AntiDoubleStrandedDNA_Max,627,627,all,Autoantibody
42.0,17913082.0,11646.662109375,426501.9375,277.3014831542969,AntiDoubleStrandedDNA_Min,627,627,all,Autoantibody
63.0,25923966.0,17805.369140625,411491.53125,282.6249084472656,AntiSM_Avg,627,627,all,Autoantibody
67.0,53688428.0,40565.32421875,801319.8125,605.4525756835938,AntiSM_Max,627,627,all,Autoantibody
45.0,34129808.0,8473.90625,758440.1875,188.30902099609372,AntiSM_Min,627,627,all,Autoantibody
90.0,39092740.0,18194.458984375,434363.78125,202.16065979003903,Nucleosome_Avg,627,627,all,Autoantibody
61.0,31171202.0,13668.0205078125,511003.3125,224.0659027099609,Nucleosome_Max,627,627,all,Autoantibody
62.0,38042272.0,10171.6640625,613585.0625,164.05909729003906,Nucleosome_Min,627,627,all,Autoantibody
94.0,63973432.0,59171.93359375,680568.4375,629.4886474609375,AntiM2_Avg,627,627,all,Autoantibody
46.0,24662546.0,6120.89453125,536142.3125,133.06292724609375,AntiM2_Max,627,627,all,Autoantibody
64.0,45539736.0,28540.7109375,711558.375,445.9486083984375,AntiM2_Min,627,627,all,Autoantibody
44.0,36157320.0,21619.724609375,821757.25,491.3573913574219,ProliferatingCellNuclearAntigen_Avg,627,627,all,Autoantibody
28.0,24166428.0,16677.66796875,863086.6875,595.6309814453125,ProliferatingCellNuclearAntigen_Max,627,627,all,Autoantibody
38.0,24768342.0,21891.591796875,651798.5,576.0945434570312,ProliferatingCellNuclearAntigen_Min,627,627,all,Autoantibody
60.0,31976944.0,22678.46484375,532949.0625,377.9744262695313,RibosomalPProtein_Avg,627,627,all,Autoantibody
17.0,16452943.0,8773.5908203125,967820.1875,516.0935668945312,RibosomalPProtein_Max,627,627,all,Autoantibody
29.0,14852070.0,6406.08056640625,512140.34375,220.8993225097656,RibosomalPProtein_Min,627,627,all,Autoantibody
26.0,12131901.0,7174.4609375,466611.5625,275.9407958984375,PMScl_Avg,627,627,all,Autoantibody
31.0,11455270.0,6098.4208984375,369524.84375,196.72325134277344,PMScl_Max,627,627,all,Autoantibody
31.0,14223342.0,10635.263671875,458817.46875,343.0730285644531,PMScl_Min,627,627,all,Autoantibody
69.0,34968992.0,19269.341796875,506797.0,279.26580810546875,Histone_Avg,627,627,all,Autoantibody
51.0,34581920.0,15546.9521484375,678076.875,304.8421936035156,Histone_Max,627,627,all,Autoantibody
57.0,48932764.0,30052.4765625,858469.5625,527.2364501953125,Histone_Min,627,627,all,Autoantibody
40.0,28208922.0,32452.431640625,705223.0625,811.310791015625,CentromereProteinB_Avg,627,627,all,Autoantibody
41.0,48971932.0,43910.41015625,1194437.375,1070.985595703125,CentromereProteinB_Max,627,627,all,Autoantibody
16.0,8583496.0,10549.1923828125,536468.5,659.3245239257812,CentromereProteinB_Min,627,627,all,Autoantibody
96.0,78325832.0,45115.31640625,815894.0625,469.9512023925781,Ro52_Avg,627,627,all,Autoantibody
69.0,42704300.0,33990.1328125,618902.875,492.6106262207031,Ro52_Max,627,627,all,Autoantibody
73.0,53648476.0,34776.2109375,734910.625,476.3864440917969,Ro52_Min,627,627,all,Autoantibody
18.0,8493620.0,2274.317138671875,471867.78125,126.3509521484375,ThrombinTime_Avg,627,627,all,BloodCoagulation
17.0,9102739.0,3466.869873046875,535455.25,203.9335174560547,ThrombinTime_Max,627,627,all,BloodCoagulation
13.0,9659861.0,2908.760498046875,743066.25,223.7508087158203,ThrombinTime_Min,627,627,all,BloodCoagulation
64.0,83509136.0,65830.8046875,1304830.25,1028.6063232421875,PartialThromboplastinTime_Avg,627,627,all,BloodCoagulation
56.0,49837968.0,66433.5546875,889963.6875,1186.3134765625,PartialThromboplastinTime_Max,627,627,all,BloodCoagulation
24.0,27817440.0,12088.8798828125,1159060.0,503.7033386230469,PartialThromboplastinTime_Min,627,627,all,BloodCoagulation
26.0,42577504.0,28589.697265625,1637596.25,1099.603759765625,ProthrombinTime_Avg,627,627,all,BloodCoagulation
10.0,12775929.0,9193.87109375,1277592.875,919.3870849609376,ProthrombinTime_Max,627,627,all,BloodCoagulation
11.0,19913992.0,14629.1123046875,1810362.875,1329.9193115234375,ProthrombinTime_Min,627,627,all,BloodCoagulation
39.0,27961124.0,43232.390625,716951.875,1108.5228271484375,ProthrombinTimeINR_Avg,627,627,all,BloodCoagulation
24.0,25658580.0,26510.544921875,1069107.5,1104.6060791015625,ProthrombinTimeINR_Max,627,627,all,BloodCoagulation
7.0,7247937.5,6089.1728515625,1035419.625,869.8818359375,ProthrombinTimeINR_Min,627,627,all,BloodCoagulation
12.0,4393188.0,5300.00048828125,366099.0,441.6667175292969,UrinepH_Avg,627,627,all,UrineTest
6.0,2096194.875,915.2451171875,349365.8125,152.5408477783203,UrinepH_Max,627,627,all,UrineTest
12.0,9468523.0,2880.839111328125,789043.5625,240.06993103027344,UrinepH_Min,627,627,all,UrineTest
2.0,287408.3125,340.9144897460937,143704.15625,170.45724487304688,UrineGlucose_Max,627,627,all,UrineTest
1.0,124993.15625,163.662841796875,124993.15625,163.662841796875,UrineGlucose_Min,627,627,all,UrineTest
1.0,156930.15625,67.9905776977539,156930.15625,67.9905776977539,UrineProtein_Avg,627,627,all,UrineTest
7.0,1931480.125,1283.677734375,275925.71875,183.38253784179688,UrineSpecificGravity_Avg,627,627,all,UrineTest
5.0,1994434.5,1128.053466796875,398886.90625,225.61068725585935,UrineSpecificGravity_Max,627,627,all,UrineTest
7.0,1119911.75,681.9774780273438,159987.390625,97.42535400390624,UrineSpecificGravity_Min,627,627,all,UrineTest
15.0,10721000.0,2553.568115234375,714733.3125,170.2378692626953,RedBloodCellsMicroscopic_Avg,627,627,all,UrineTest
