[2024-09-02 16:21:52] PRINT [69]	train-poisson-nloglik:34.89441	train-roc_auc:0.82946	validation-poisson-nloglik:36.10259	validation-roc_auc:0.78638
[2024-09-02 16:21:52] PRINT [70]	train-poisson-nloglik:31.59632	train-roc_auc:0.82664	validation-poisson-nloglik:32.78600	validation-roc_auc:0.78365
[2024-09-02 16:21:52] PRINT [71]	train-poisson-nloglik:28.71696	train-roc_auc:0.82765	validation-poisson-nloglik:29.86355	validation-roc_auc:0.77777
[2024-09-02 16:21:52] PRINT [72]	train-poisson-nloglik:26.19873	train-roc_auc:0.82667	validation-poisson-nloglik:27.33628	validation-roc_auc:0.77914
[2024-09-02 16:21:52] PRINT [73]	train-poisson-nloglik:23.95831	train-roc_auc:0.82467	validation-poisson-nloglik:25.08350	validation-roc_auc:0.77628
[2024-09-02 16:21:52] PRINT [74]	train-poisson-nloglik:22.02042	train-roc_auc:0.82591	validation-poisson-nloglik:23.13340	validation-roc_auc:0.77628
[2024-09-02 16:21:52] PRINT [75]	train-poisson-nloglik:20.32748	train-roc_auc:0.82615	validation-poisson-nloglik:21.42151	validation-roc_auc:0.77663
[2024-09-02 16:21:52] PRINT [76]	train-poisson-nloglik:18.83109	train-roc_auc:0.82998	validation-poisson-nloglik:19.90347	validation-roc_auc:0.78326
[2024-09-02 16:21:52] PRINT [77]	train-poisson-nloglik:17.54103	train-roc_auc:0.83408	validation-poisson-nloglik:18.61944	validation-roc_auc:0.78594
[2024-09-02 16:21:53] PRINT [78]	train-poisson-nloglik:16.38809	train-roc_auc:0.83208	validation-poisson-nloglik:17.46294	validation-roc_auc:0.78361
[2024-09-02 16:21:53] PRINT [79]	train-poisson-nloglik:15.38467	train-roc_auc:0.83027	validation-poisson-nloglik:16.45706	validation-roc_auc:0.78203
[2024-09-02 16:21:53] PRINT [80]	train-poisson-nloglik:14.53854	train-roc_auc:0.83330	validation-poisson-nloglik:15.61072	validation-roc_auc:0.78624
[2024-09-02 16:21:53] PRINT [81]	train-poisson-nloglik:13.77725	train-roc_auc:0.83166	validation-poisson-nloglik:14.84441	validation-roc_auc:0.78444
[2024-09-02 16:21:53] PRINT [82]	train-poisson-nloglik:13.11689	train-roc_auc:0.83156	validation-poisson-nloglik:14.17794	validation-roc_auc:0.78401
[2024-09-02 16:21:53] PRINT [83]	train-poisson-nloglik:12.55786	train-roc_auc:0.83745	validation-poisson-nloglik:13.60288	validation-roc_auc:0.78436
[2024-09-02 16:21:53] PRINT [84]	train-poisson-nloglik:12.05768	train-roc_auc:0.83630	validation-poisson-nloglik:13.10506	validation-roc_auc:0.78357
[2024-09-02 16:21:53] PRINT [85]	train-poisson-nloglik:11.62607	train-roc_auc:0.83609	validation-poisson-nloglik:12.67594	validation-roc_auc:0.78515
[2024-09-02 16:21:53] PRINT [86]	train-poisson-nloglik:11.24993	train-roc_auc:0.83532	validation-poisson-nloglik:12.32340	validation-roc_auc:0.78352
[2024-09-02 16:21:53] PRINT [87]	train-poisson-nloglik:10.91058	train-roc_auc:0.83403	validation-poisson-nloglik:12.00016	validation-roc_auc:0.77916
