[2024-09-02 16:21:20] PRINT [109]	train-poisson-nloglik:1.81667	train-prerec_auc:0.96675	validation-poisson-nloglik:2.08095	validation-prerec_auc:0.91012
[2024-09-02 16:21:20] PRINT [110]	train-poisson-nloglik:1.81622	train-prerec_auc:0.96686	validation-poisson-nloglik:2.08073	validation-prerec_auc:0.91016
[2024-09-02 16:21:20] PRINT [111]	train-poisson-nloglik:1.81440	train-prerec_auc:0.96706	validation-poisson-nloglik:2.08150	validation-prerec_auc:0.91061
[2024-09-02 16:21:20] PRINT [112]	train-poisson-nloglik:1.81377	train-prerec_auc:0.96736	validation-poisson-nloglik:2.08141	validation-prerec_auc:0.91103
[2024-09-02 16:21:20] PRINT [113]	train-poisson-nloglik:1.81295	train-prerec_auc:0.96757	validation-poisson-nloglik:2.08144	validation-prerec_auc:0.91186
[2024-09-02 16:21:20] PRINT [114]	train-poisson-nloglik:1.81260	train-prerec_auc:0.96759	validation-poisson-nloglik:2.08121	validation-prerec_auc:0.91190
[2024-09-02 16:21:20] PRINT [115]	train-poisson-nloglik:1.81102	train-prerec_auc:0.96793	validation-poisson-nloglik:2.08136	validation-prerec_auc:0.91207
[2024-09-02 16:21:20] PRINT [116]	train-poisson-nloglik:1.81040	train-prerec_auc:0.96828	validation-poisson-nloglik:2.08070	validation-prerec_auc:0.91040
[2024-09-02 16:21:20] PRINT [117]	train-poisson-nloglik:1.80938	train-prerec_auc:0.96842	validation-poisson-nloglik:2.08202	validation-prerec_auc:0.91112
[2024-09-02 16:21:20] PRINT [118]	train-poisson-nloglik:1.80843	train-prerec_auc:0.96860	validation-poisson-nloglik:2.08212	validation-prerec_auc:0.91074
[2024-09-02 16:21:20] PRINT [119]	train-poisson-nloglik:1.80734	train-prerec_auc:0.96874	validation-poisson-nloglik:2.08210	validation-prerec_auc:0.91041
[2024-09-02 16:21:20] PRINT [120]	train-poisson-nloglik:1.80639	train-prerec_auc:0.96883	validation-poisson-nloglik:2.08182	validation-prerec_auc:0.91117
[2024-09-02 16:21:20] PRINT [121]	train-poisson-nloglik:1.80572	train-prerec_auc:0.96896	validation-poisson-nloglik:2.08164	validation-prerec_auc:0.91113
[2024-09-02 16:21:20] PRINT [122]	train-poisson-nloglik:1.80521	train-prerec_auc:0.96907	validation-poisson-nloglik:2.08221	validation-prerec_auc:0.91098
[2024-09-02 16:21:20] PRINT [123]	train-poisson-nloglik:1.80383	train-prerec_auc:0.96932	validation-poisson-nloglik:2.08262	validation-prerec_auc:0.91132
[2024-09-02 16:21:20] PRINT [124]	train-poisson-nloglik:1.80292	train-prerec_auc:0.96953	validation-poisson-nloglik:2.08229	validation-prerec_auc:0.90955
[2024-09-02 16:21:20] PRINT [125]	train-poisson-nloglik:1.80154	train-prerec_auc:0.96979	validation-poisson-nloglik:2.08246	validation-prerec_auc:0.90939
[2024-09-02 16:21:20] PRINT [126]	train-poisson-nloglik:1.80049	train-prerec_auc:0.96999	validation-poisson-nloglik:2.08311	validation-prerec_auc:0.90930
[2024-09-02 16:21:20] PRINT [127]	train-poisson-nloglik:1.79931	train-prerec_auc:0.97025	validation-poisson-nloglik:2.08322	validation-prerec_auc:0.90958
[2024-09-02 16:21:20] PRINT [128]	train-poisson-nloglik:1.79862	train-prerec_auc:0.97040	validation-poisson-nloglik:2.08514	validation-prerec_auc:0.90946
[2024-09-02 16:21:20] PRINT [129]	train-poisson-nloglik:1.79711	train-prerec_auc:0.97064	validation-poisson-nloglik:2.08455	validation-prerec_auc:0.90961
[2024-09-02 16:21:20] PRINT [130]	train-poisson-nloglik:1.79589	train-prerec_auc:0.97099	validation-poisson-nloglik:2.08403	validation-prerec_auc:0.90968
[2024-09-02 16:21:20] PRINT [131]	train-poisson-nloglik:1.79492	train-prerec_auc:0.97110	validation-poisson-nloglik:2.08467	validation-prerec_auc:0.90967
[2024-09-02 16:21:21] PRINT [132]	train-poisson-nloglik:1.79442	train-prerec_auc:0.97121	validation-poisson-nloglik:2.08543	validation-prerec_auc:0.90975
[2024-09-02 16:21:21] PRINT [133]	train-poisson-nloglik:1.79357	train-prerec_auc:0.97128	validation-poisson-nloglik:2.08595	validation-prerec_auc:0.90904
[2024-09-02 16:21:21] PRINT [134]	train-poisson-nloglik:1.79306	train-prerec_auc:0.97134	validation-poisson-nloglik:2.08723	validation-prerec_auc:0.90907
[2024-09-02 16:21:21] PRINT [135]	train-poisson-nloglik:1.79227	train-prerec_auc:0.97153	validation-poisson-nloglik:2.08654	validation-prerec_auc:0.90915
