[2024-09-02 16:20:51] PRINT [83]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [84]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [85]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [86]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [87]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [88]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [89]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [90]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [91]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [92]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [93]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [94]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [95]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [96]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [97]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [98]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [99]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [100]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [101]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
