[2024-09-02 16:20:18] PRINT [59]	train-poisson-nloglik:1.10671	train-roc_auc:0.95544	validation-poisson-nloglik:1.18477	validation-roc_auc:0.87063
[2024-09-02 16:20:18] PRINT [60]	train-poisson-nloglik:1.10649	train-roc_auc:0.95559	validation-poisson-nloglik:1.18482	validation-roc_auc:0.87033
[2024-09-02 16:20:18] PRINT [61]	train-poisson-nloglik:1.10612	train-roc_auc:0.95592	validation-poisson-nloglik:1.18521	validation-roc_auc:0.87004
[2024-09-02 16:20:18] PRINT [62]	train-poisson-nloglik:1.10531	train-roc_auc:0.95644	validation-poisson-nloglik:1.18551	validation-roc_auc:0.87084
[2024-09-02 16:20:18] PRINT [63]	train-poisson-nloglik:1.10503	train-roc_auc:0.95671	validation-poisson-nloglik:1.18532	validation-roc_auc:0.87092
[2024-09-02 16:20:18] PRINT [64]	train-poisson-nloglik:1.10470	train-roc_auc:0.95682	validation-poisson-nloglik:1.18575	validation-roc_auc:0.87092
[2024-09-02 16:20:18] PRINT [65]	train-poisson-nloglik:1.10416	train-roc_auc:0.95734	validation-poisson-nloglik:1.18548	validation-roc_auc:0.87054
[2024-09-02 16:20:18] PRINT [66]	train-poisson-nloglik:1.10394	train-roc_auc:0.95757	validation-poisson-nloglik:1.18558	validation-roc_auc:0.87046
[2024-09-02 16:20:19] PRINT [67]	train-poisson-nloglik:1.10351	train-roc_auc:0.95790	validation-poisson-nloglik:1.18572	validation-roc_auc:0.87079
[2024-09-02 16:20:19] PRINT [68]	train-poisson-nloglik:1.10334	train-roc_auc:0.95793	validation-poisson-nloglik:1.18590	validation-roc_auc:0.87021
[2024-09-02 16:20:19] PRINT [69]	train-poisson-nloglik:1.10295	train-roc_auc:0.95832	validation-poisson-nloglik:1.18583	validation-roc_auc:0.87104
[2024-09-02 16:20:19] PRINT [70]	train-poisson-nloglik:1.10279	train-roc_auc:0.95833	validation-poisson-nloglik:1.18590	validation-roc_auc:0.87100
[2024-09-02 16:20:19] PRINT [71]	train-poisson-nloglik:1.10217	train-roc_auc:0.95866	validation-poisson-nloglik:1.18576	validation-roc_auc:0.87117
[2024-09-02 16:20:19] PRINT [72]	train-poisson-nloglik:1.10203	train-roc_auc:0.95869	validation-poisson-nloglik:1.18576	validation-roc_auc:0.87092
[2024-09-02 16:20:19] PRINT [73]	train-poisson-nloglik:1.10151	train-roc_auc:0.95904	validation-poisson-nloglik:1.18602	validation-roc_auc:0.87100
[2024-09-02 16:20:19] PRINT [74]	train-poisson-nloglik:1.10132	train-roc_auc:0.95920	validation-poisson-nloglik:1.18620	validation-roc_auc:0.87017
[2024-09-02 16:20:19] PRINT [75]	train-poisson-nloglik:1.10067	train-roc_auc:0.95951	validation-poisson-nloglik:1.18624	validation-roc_auc:0.87042
[2024-09-02 16:20:19] PRINT [76]	train-poisson-nloglik:1.10032	train-roc_auc:0.95953	validation-poisson-nloglik:1.18620	validation-roc_auc:0.87138
[2024-09-02 16:20:19] PRINT [77]	train-poisson-nloglik:1.10015	train-roc_auc:0.95959	validation-poisson-nloglik:1.18623	validation-roc_auc:0.87150
[2024-09-02 16:20:19] PRINT [78]	train-poisson-nloglik:1.09981	train-roc_auc:0.95974	validation-poisson-nloglik:1.18624	validation-roc_auc:0.87171
[2024-09-02 16:20:19] PRINT [79]	train-poisson-nloglik:1.09943	train-roc_auc:0.96001	validation-poisson-nloglik:1.18702	validation-roc_auc:0.87134
[2024-09-02 16:20:19] PRINT [80]	train-poisson-nloglik:1.09907	train-roc_auc:0.96046	validation-poisson-nloglik:1.18691	validation-roc_auc:0.87171
[2024-09-02 16:20:19] PRINT [81]	train-poisson-nloglik:1.09882	train-roc_auc:0.96065	validation-poisson-nloglik:1.18698	validation-roc_auc:0.87167
[2024-09-02 16:20:19] PRINT [82]	train-poisson-nloglik:1.09848	train-roc_auc:0.96098	validation-poisson-nloglik:1.18703	validation-roc_auc:0.87163
[2024-09-02 16:20:19] PRINT [83]	train-poisson-nloglik:1.09797	train-roc_auc:0.96150	validation-poisson-nloglik:1.18711	validation-roc_auc:0.87221
[2024-09-02 16:20:19] PRINT [84]	train-poisson-nloglik:1.09770	train-roc_auc:0.96160	validation-poisson-nloglik:1.18717	validation-roc_auc:0.87292
[2024-09-02 16:20:19] PRINT [85]	train-poisson-nloglik:1.09740	train-roc_auc:0.96205	validation-poisson-nloglik:1.18698	validation-roc_auc:0.87259
[2024-09-02 16:20:19] PRINT [86]	train-poisson-nloglik:1.09720	train-roc_auc:0.96206	validation-poisson-nloglik:1.18699	validation-roc_auc:0.87271
[2024-09-02 16:20:19] PRINT [87]	train-poisson-nloglik:1.09655	train-roc_auc:0.96255	validation-poisson-nloglik:1.18695	validation-roc_auc:0.87313
[2024-09-02 16:20:19] PRINT [88]	train-poisson-nloglik:1.09612	train-roc_auc:0.96290	validation-poisson-nloglik:1.18728	validation-roc_auc:0.87326
[2024-09-02 16:20:19] PRINT [89]	train-poisson-nloglik:1.09598	train-roc_auc:0.96297	validation-poisson-nloglik:1.18741	validation-roc_auc:0.87288
[2024-09-02 16:20:19] PRINT [90]	train-poisson-nloglik:1.09572	train-roc_auc:0.96310	validation-poisson-nloglik:1.18744	validation-roc_auc:0.87309
[2024-09-02 16:20:19] PRINT [91]	train-poisson-nloglik:1.09536	train-roc_auc:0.96337	validation-poisson-nloglik:1.18809	validation-roc_auc:0.87201
[2024-09-02 16:20:19] PRINT [92]	train-poisson-nloglik:1.09500	train-roc_auc:0.96364	validation-poisson-nloglik:1.18811	validation-roc_auc:0.87226
[2024-09-02 16:20:19] PRINT [93]	train-poisson-nloglik:1.09487	train-roc_auc:0.96382	validation-poisson-nloglik:1.18851	validation-roc_auc:0.87226
[2024-09-02 16:20:19] PRINT [94]	train-poisson-nloglik:1.09456	train-roc_auc:0.96406	validation-poisson-nloglik:1.18835	validation-roc_auc:0.87271
[2024-09-02 16:20:19] PRINT [95]	train-poisson-nloglik:1.09411	train-roc_auc:0.96456	validation-poisson-nloglik:1.18888	validation-roc_auc:0.87188
[2024-09-02 16:20:19] PRINT [96]	train-poisson-nloglik:1.09380	train-roc_auc:0.96482	validation-poisson-nloglik:1.18868	validation-roc_auc:0.87221
[2024-09-02 16:20:19] PRINT [97]	train-poisson-nloglik:1.09358	train-roc_auc:0.96500	validation-poisson-nloglik:1.18887	validation-roc_auc:0.87217
[2024-09-02 16:20:19] PRINT [98]	train-poisson-nloglik:1.09326	train-roc_auc:0.96536	validation-poisson-nloglik:1.18924	validation-roc_auc:0.87167
[2024-09-02 16:20:19] PRINT [99]	train-poisson-nloglik:1.09309	train-roc_auc:0.96546	validation-poisson-nloglik:1.18982	validation-roc_auc:0.87163
[2024-09-02 16:20:19] PRINT [100]	train-poisson-nloglik:1.09272	train-roc_auc:0.96576	validation-poisson-nloglik:1.19079	validation-roc_auc:0.87163
[2024-09-02 16:20:19] PRINT [101]	train-poisson-nloglik:1.09246	train-roc_auc:0.96600	validation-poisson-nloglik:1.19053	validation-roc_auc:0.87213
[2024-09-02 16:20:19] PRINT [102]	train-poisson-nloglik:1.09225	train-roc_auc:0.96607	validation-poisson-nloglik:1.19039	validation-roc_auc:0.87201
[2024-09-02 16:20:19] PRINT [103]	train-poisson-nloglik:1.09190	train-roc_auc:0.96646	validation-poisson-nloglik:1.19051	validation-roc_auc:0.87142
[2024-09-02 16:20:19] PRINT [104]	train-poisson-nloglik:1.09138	train-roc_auc:0.96678	validation-poisson-nloglik:1.19050	validation-roc_auc:0.87171
[2024-09-02 16:20:19] PRINT [105]	train-poisson-nloglik:1.09093	train-roc_auc:0.96699	validation-poisson-nloglik:1.19034	validation-roc_auc:0.87217
